,name,affiliations,email,website,interests,thumbnail
10,Rebecca Soffe,"Postdoctoral Fellow; Department of Electrical and Computer Engineering, University of Canterbury",Verified email at canterbury.ac.nz,,"[{'title': 'Microfluidics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:microfluidics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amicrofluidics'}, {'title': 'Lab on a Chip', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:lab_on_a_chip', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Alab_on_a_chip'}, {'title': 'Microfabrication', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:microfabrication', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amicrofabrication'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=8KnR9MoAAAAJ&citpid=5
11,"Ravi Shukla, PhD","Professor, School of Science, RMIT University, Australia",Verified email at rmit.edu.au,http://www1.rmit.edu.au/staff/ravi-shukla,"[{'title': 'Nanobiotechnology*', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:nanobiotechnology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Ananobiotechnology'}, {'title': 'Targeted theranostics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:targeted_theranostics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Atargeted_theranostics'}, {'title': 'Biosensors', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:biosensors', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abiosensors'}, {'title': 'Biomaterials', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:biomaterials', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abiomaterials'}, {'title': 'Cell Biology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:cell_biology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Acell_biology'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=_p-K5eUAAAAJ&citpid=5
12,Chenghong Lei,Pacific Northwest National Laboratory,Verified email at glut.edu.cn,,"[{'title': 'chemistry', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:chemistry', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Achemistry'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=j2AR3TEAAAAJ&citpid=4
13,Thana Thongsricome,"Department of Physiology, Faculty of Medicine",Verified email at chula.ac.th,,"[{'title': 'Nephrology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:nephrology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Anephrology'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=QphCqyYAAAAJ&citpid=1
14,Joseph F. Pierre,"Assistant Professor of Nutritional Sciences, University of Wisconsin - Madison",Verified email at wisc.edu,,"[{'title': 'Nutrition', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:nutrition', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Anutrition'}, {'title': 'Microbiome', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:microbiome', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amicrobiome'}, {'title': 'Metabolism', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:metabolism', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Ametabolism'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=P3D1cPAAAAAJ&citpid=1
15,Danielle Rendina,Duke University,Verified email at duke.edu,,"[{'title': 'Psychoneuroimmunology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:psychoneuroimmunology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Apsychoneuroimmunology'}, {'title': 'Behavioral Neuroscience', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:behavioral_neuroscience', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abehavioral_neuroscience'}, {'title': 'Gut-Brain Axis', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:gut_brain_axis', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Agut_brain_axis'}, {'title': 'Infant Development', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:infant_development', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Ainfant_development'}, {'title': 'Neuroendocrinology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:neuroendocrinology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aneuroendocrinology'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=7xhrgUoAAAAJ&citpid=3
16,Nadezda P. Sachivkina (Сачивкина Надежда Павловна),RUDN University (Российский университет дружбы народов),Verified email at pfur.ru,https://www.rudn.ru/,"[{'title': 'microbiology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:microbiology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amicrobiology'}, {'title': 'veterinary medicine', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:veterinary_medicine', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aveterinary_medicine'}, {'title': 'микробиология', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:%D0%BC%D0%B8%D0%BA%D1%80%D0%BE%D0%B1%D0%B8%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3A%25D0%25BC%25D0%25B8%25D0%25BA%25D1%2580%25D0%25BE%25D0%25B1%25D0%25B8%25D0%25BE%25D0%25BB%25D0%25BE%25D0%25B3%25D0%25B8%25D1%258F'}, {'title': 'ветеринария', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:%D0%B2%D0%B5%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B0%D1%80%D0%B8%D1%8F', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3A%25D0%25B2%25D0%25B5%25D1%2582%25D0%25B5%25D1%2580%25D0%25B8%25D0%25BD%25D0%25B0%25D1%2580%25D0%25B8%25D1%258F'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=kaxTj0gAAAAJ&citpid=2
17,Bojidar Galutzov,"Professor of Biophysics, Sofia University",Verified email at biofac.unisofia.bg,https://www.uni-sofia.bg/index.php/bul/universitet_t/fakulteti/biologicheski_fakultet2/katedri_i_samostoyatelni_zvena/katedri/bi,"[{'title': 'protein electroextraction', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:protein_electroextraction', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aprotein_electroextraction'}, {'title': 'membrane biophysics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:membrane_biophysics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amembrane_biophysics'}, {'title': 'biotechnology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:biotechnology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abiotechnology'}, {'title': 'free radicals', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:free_radicals', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Afree_radicals'}, {'title': 'radiobiology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:radiobiology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aradiobiology'}]",https://scholar.google.com/citations/images/avatar_scholar_128.png
18,Holger Zorn,"Professor in Food Chemistry, Justus Liebig University Giessen",Verified email at unigiessen.de,https://www.uni-giessen.de/cms/fbz/fb08/Inst/lcb,"[{'title': 'Food Biotechnology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:food_biotechnology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Afood_biotechnology'}, {'title': 'Enzymes', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:enzymes', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aenzymes'}, {'title': 'Flavours', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:flavours', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aflavours'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=n7OMEb0AAAAJ&citpid=2
19,Humberto Pereira,"PhD Student, University of Minho",Verified email at alunos.uminho.pt,http://cbma.bio.uminho.pt/index.php?option=com_comprofiler&task=userProfile&user=2559&Itemid=92,"[{'title': 'genetics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:genetics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Agenetics'}, {'title': 'biotecnology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:biotecnology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abiotecnology'}, {'title': 'metabolic engeneering', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:metabolic_engeneering', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Ametabolic_engeneering'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=v2htOOsAAAAJ&citpid=1
