,name,affiliations,email,website,interests,thumbnail
69,"Ravi Shukla, PhD","Professor, School of Science, RMIT University, Australia",Verified email at rmit.edu.au,http://www1.rmit.edu.au/staff/ravi-shukla,"[{'title': 'Nanobiotechnology*', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:nanobiotechnology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Ananobiotechnology'}, {'title': 'Targeted theranostics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:targeted_theranostics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Atargeted_theranostics'}, {'title': 'Biosensors', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:biosensors', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abiosensors'}, {'title': 'Biomaterials', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:biomaterials', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abiomaterials'}, {'title': 'Cell Biology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:cell_biology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Acell_biology'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=_p-K5eUAAAAJ&citpid=5
70,Cornelia Lass-Flörl,Medizinische Universität Innsbruck,Verified email at imed.ac.at,,"[{'title': 'medical mycology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:medical_mycology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amedical_mycology'}, {'title': 'hospital infection control', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:hospital_infection_control', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Ahospital_infection_control'}, {'title': 'epidemiology and prevention of hospital infections', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:epidemiology_and_prevention_of_hospital_infections', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aepidemiology_and_prevention_of_hospital_infections'}, {'title': 'Aspergillus and innate immunit', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:aspergillus_and_innate_immunit', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aaspergillus_and_innate_immunit'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=2hULkd8AAAAJ&citpid=1
71,Elisabetta BLASI,"Professore Ordinario di Microbiologia e Microbiologia Clinica, UNIMORE",Verified email at unimore.it,,"[{'title': 'Microbiologia Medica e Microbiologia Clinica', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:microbiologia_medica_e_microbiologia_clinica', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amicrobiologia_medica_e_microbiologia_clinica'}]",https://scholar.google.com/citations/images/avatar_scholar_128.png
72,Kang Liang,University of New South Wales,Verified email at unsw.edu.au,https://research.unsw.edu.au/people/dr-kang-liang,"[{'title': 'Nano-micro-bio systems', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:nano_micro_bio_systems', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Anano_micro_bio_systems'}, {'title': 'Nano-bio interface', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:nano_bio_interface', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Anano_bio_interface'}, {'title': 'Biocatalytic nanomaterials', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:biocatalytic_nanomaterials', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abiocatalytic_nanomaterials'}, {'title': 'Functional nanomaterials', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:functional_nanomaterials', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Afunctional_nanomaterials'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=9bpz1dQAAAAJ&citpid=8
73,Joseph J Richardson,RMIT University,Verified email at unimelb.edu.au,,"[{'title': 'Nanomedicine', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:nanomedicine', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Ananomedicine'}, {'title': 'Nano-bionics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:nano_bionics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Anano_bionics'}, {'title': 'Forensics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:forensics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aforensics'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=oM8FpwoAAAAJ&citpid=2
74,Christian Doonan,adelaide university school of chemistry and physics,Verified email at adelaide.edu.au,,"[{'title': 'inorganic chemistry', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:inorganic_chemistry', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Ainorganic_chemistry'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=t5oHT1QAAAAJ&citpid=2
75,Michael L. Kotewicz,Research Scientist FDA,Verified email at fda.hhs.gov,,"[{'title': 'molecular biology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:molecular_biology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amolecular_biology'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=poXY_WAAAAAJ&citpid=2
76,Alberto Martín,"Profesor Titular de Universidad, Universidad de Extremadura",Verified email at unex.es,,"[{'title': 'Ciencia y Tecnología de los Alimentos', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:ciencia_y_tecnolog%C3%ADa_de_los_alimentos', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aciencia_y_tecnolog%25C3%25ADa_de_los_alimentos'}]",https://scholar.google.com/citations/images/avatar_scholar_128.png
77,Guoqiang Zhang,Hunan University,Verified email at 188.com,http://www.chinasbe.com/people/gqzhang,"[{'title': 'Building', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:building', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abuilding'}, {'title': 'Environment', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:environment', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aenvironment'}, {'title': 'energy', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:energy', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aenergy'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=kkdFxsUAAAAJ&citpid=3
78,Jingwen Zhou,Jiangnan University,Verified email at jiangnan.edu.cn,http://lbbe.jiangnan.edu.cn/,"[{'title': 'Metabolic engineering', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:metabolic_engineering', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Ametabolic_engineering'}, {'title': 'Synthetic Biology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:synthetic_biology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Asynthetic_biology'}, {'title': 'Future Foods', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:future_foods', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Afuture_foods'}]",https://scholar.google.com/citations/images/avatar_scholar_128.png
79,Zaki,101037 Universitas Sumatera Barat,Verified email at unisbar.ac.id,http://www.unisbar.ac.id/,"[{'title': 'Manajemen', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:manajemen', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amanajemen'}, {'title': 'Ekonomi', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:ekonomi', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aekonomi'}, {'title': 'Iptek', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:iptek', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aiptek'}, {'title': 'Perbankan', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:perbankan', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aperbankan'}]",https://scholar.google.com/citations/images/avatar_scholar_128.png
80,Mario Vaneechoutte,"Emeritus Ghent University, Belgium",Verified email at ugent.be,https://users.ugent.be/~mvaneech/Index.html,"[{'title': 'Microbiology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:microbiology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amicrobiology'}, {'title': 'Bacteriophage', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:bacteriophage', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abacteriophage'}, {'title': 'Evolution', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:evolution', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aevolution'}, {'title': 'Human evolution', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:human_evolution', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Ahuman_evolution'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=UMz3PgIAAAAJ&citpid=5
81,Huda Zoghbi,Professor Baylor College of Medicine,Verified email at bcm.edu,,"[{'title': 'neurobiology genetics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:neurobiology_genetics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aneurobiology_genetics'}]",https://scholar.google.com/citations/images/avatar_scholar_128.png
82,Alan R. Davidson,University of Toronto,Verified email at utoronto.ca,,"[{'title': 'phage', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:phage', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aphage'}, {'title': 'SH3', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:sh3', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Ash3'}, {'title': 'CRISPR', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:crispr', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Acrispr'}, {'title': 'pseudomonas', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:pseudomonas', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Apseudomonas'}, {'title': 'E. coli', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:e_coli', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Ae_coli'}]",https://scholar.google.com/citations/images/avatar_scholar_128.png
83,Hojae Lee,"Hallym University, Department of Chemistry",Verified email at hallym.ac.kr,https://hlee-group.weebly.com/,,https://scholar.google.com/citations/images/avatar_scholar_128.png
84,Juno Lee,KAIST,Verified email at kaist.ac.kr,,,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=18xWemEAAAAJ&citpid=2
85,Hyeoncheol Cho,KAIST,Verified email at kaist.ac.kr,,,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=VL4HdEEAAAAJ&citpid=1
86,Remziye Yilmaz,Hacettepe University Food Engineering Department,Verified email at hacettepe.edu.tr,http://www.foodomicslab.hacettepe.edu.tr/en,"[{'title': 'Food Biotechnology and Genetic Engineering', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:food_biotechnology_and_genetic_engineering', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Afood_biotechnology_and_genetic_engineering'}, {'title': 'Food Microbiology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:food_microbiology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Afood_microbiology'}, {'title': 'Food Biochemistry and Enzyme Science', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:food_biochemistry_and_enzyme_science', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Afood_biochemistry_and_enzyme_science'}, {'title': 'Food Security', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:food_security', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Afood_security'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=hKj1iWYAAAAJ&citpid=3
87,Oya Akca,Istanbul Atlas University,Verified email at atlas.edu.tr,,"[{'title': 'Nanobiotechnology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:nanobiotechnology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Ananobiotechnology'}, {'title': 'Biosensors', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:biosensors', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abiosensors'}, {'title': 'Molecular Diagnostics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:molecular_diagnostics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amolecular_diagnostics'}]",https://scholar.google.com/citations/images/avatar_scholar_128.png
88,Prof. Dr. Mehmet Cengiz Baloglu,Kastamonu University,Verified email at kastamonu.edu.tr,,"[{'title': 'NGS', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:ngs', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Angs'}, {'title': 'Transcriptome', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:transcriptome', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Atranscriptome'}, {'title': 'miRNA', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:mirna', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amirna'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=6LBEBI4AAAAJ&citpid=2
89,Tufan Oz,"Lab Manager, Research Scientist, California Institute of Technology - Caltech, Pasadena CA",Verified email at caltech.edu,,"[{'title': 'Biotechnology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:biotechnology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abiotechnology'}, {'title': 'plant genetics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:plant_genetics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aplant_genetics'}, {'title': 'gene editing', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:gene_editing', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Agene_editing'}, {'title': 'CRISPR', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:crispr', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Acrispr'}, {'title': 'genetic transformation', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:genetic_transformation', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Agenetic_transformation'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=oFqklm4AAAAJ&citpid=2
90,Jiannis Ragoussis,"Professor in Human Genetics, McGill University",Verified email at mcgill.ca,https://www.agtg.ca/team,"[{'title': 'Genomics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:genomics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Agenomics'}, {'title': 'Transcriptomics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:transcriptomics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Atranscriptomics'}, {'title': 'Single Cell Genomics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:single_cell_genomics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Asingle_cell_genomics'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ThjB_RcAAAAJ&citpid=1
91,SX Maletz,RWTH Aachen,Verified email at bio5.rwthaachen.de,,"[{'title': 'Umweltwissenschaften', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:umweltwissenschaften', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aumweltwissenschaften'}]",https://scholar.google.com/citations/images/avatar_scholar_128.png
92,John Giesy,"Professor and Canada Research Chair in Environmental Toxicology, University of Saskatchewan",Verified email at usask.ca,http://www.usask.ca/toxicology/jgiesy/,"[{'title': 'Ecotoxicology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:ecotoxicology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aecotoxicology'}, {'title': 'Environmental Chemistry', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:environmental_chemistry', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aenvironmental_chemistry'}, {'title': 'Aquatic Toxicology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:aquatic_toxicology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aaquatic_toxicology'}, {'title': 'Ecology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:ecology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aecology'}, {'title': 'Environmental Toxicology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:environmental_toxicology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aenvironmental_toxicology'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=vt-PMP8AAAAJ&citpid=3
93,Kang Liang,University of New South Wales,Verified email at unsw.edu.au,https://research.unsw.edu.au/people/dr-kang-liang,"[{'title': 'Nano-micro-bio systems', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:nano_micro_bio_systems', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Anano_micro_bio_systems'}, {'title': 'Nano-bio interface', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:nano_bio_interface', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Anano_bio_interface'}, {'title': 'Biocatalytic nanomaterials', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:biocatalytic_nanomaterials', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abiocatalytic_nanomaterials'}, {'title': 'Functional nanomaterials', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:functional_nanomaterials', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Afunctional_nanomaterials'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=9bpz1dQAAAAJ&citpid=8
94,Joseph J Richardson,RMIT University,Verified email at unimelb.edu.au,,"[{'title': 'Nanomedicine', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:nanomedicine', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Ananomedicine'}, {'title': 'Nano-bionics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:nano_bionics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Anano_bionics'}, {'title': 'Forensics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:forensics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aforensics'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=oM8FpwoAAAAJ&citpid=2
95,Jiwei Cui,"Shandong University, The University of Melbourne",Verified email at sdu.edu.cn,http://cis.sdu.edu.cn/cui_lab.htm,"[{'title': 'Nanoengineering', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:nanoengineering', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Ananoengineering'}, {'title': 'Bionanotechnology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:bionanotechnology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abionanotechnology'}, {'title': 'Colloid and Interface Science', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:colloid_and_interface_science', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Acolloid_and_interface_science'}, {'title': 'Therapeutic Delivery', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:therapeutic_delivery', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Atherapeutic_delivery'}]",https://scholar.google.com/citations/images/avatar_scholar_128.png
96,Frank Caruso,University of Melbourne,Verified email at unimelb.edu.au,,,https://scholar.google.com/citations/images/avatar_scholar_128.png
97,Christian Doonan,adelaide university school of chemistry and physics,Verified email at adelaide.edu.au,,"[{'title': 'inorganic chemistry', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:inorganic_chemistry', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Ainorganic_chemistry'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=t5oHT1QAAAAJ&citpid=2
98,Chen-Chun Pai,University of Oxford,Verified email at oncology.ox.ac.uk,,"[{'title': 'yeast genetics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:yeast_genetics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Ayeast_genetics'}, {'title': 'genome stability', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:genome_stability', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Agenome_stability'}, {'title': 'epigenetics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:epigenetics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aepigenetics'}, {'title': 'chromosome biology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:chromosome_biology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Achromosome_biology'}]",https://scholar.google.com/citations/images/avatar_scholar_128.png
99,Andrew P Halestrap,"Emeritus Professor of Biochemistry, University of Bristol",Verified email at bristol.ac.uk,,"[{'title': 'Mitochondrial function and monocarboxylate transport', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:mitochondrial_function_and_monocarboxylate_transport', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amitochondrial_function_and_monocarboxylate_transport'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=yCLNY24AAAAJ&citpid=1
100,Hervé Alexandre,Professeur,Verified email at ubourgogne.fr,,"[{'title': 'Microbiologie', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:microbiologie', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amicrobiologie'}, {'title': 'oenologie', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:oenologie', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aoenologie'}, {'title': 'levures', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:levures', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Alevures'}, {'title': 'vin', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:vin', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Avin'}]",https://scholar.google.com/citations/images/avatar_scholar_128.png
