affiliation,institute,address
"College of Bioscience and Bioengineering, Jiangxi Agricultural University, Nanchang 330045, China",Jiangxi Agricultural University,"1225 Zhi Min Da Dao, Qing Shan Hu Qu, Nan Chang Shi, Jiang Xi Sheng, China, 330029"
"College of Land Resources and Environment, Jiangxi Agriculture University, Nanchang 330045, China",Jiangxi Agriculture University,"1225 Zhi Min Da Dao, Qing Shan Hu Qu, Nan Chang Shi, Jiang Xi Sheng, China, 330029"
"School of Environmental and Rural Science, University of New England, Armidale, NSW 2351, Australia",University of New England,"44 Hersey St, Portland, ME 04103, USA"
"BASF SE, 67056 Ludwigshafen, Germany",Unparsed,"Carl-Bosch-Straße 38, 67063 Ludwigshafen am Rhein, Germany"
"School of Environmental and Rural Science, University of New England, Armidale, NSW 2351, Australia Electronic address: shubiaowu@uneeduau",University of New England,"44 Hersey St, Portland, ME 04103, USA"
